SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,c_frac,cstock
TL47 ALD Pit 0-20cm,TL47 ALD Pit,0,20,20,10,1,1.03,0.103093568,10.0223929,0.39449823,0.054284457,0.224980246,442445.144,7207075.373,0.0103,2.06
TL47 ALD Pit 20-40cm,TL47 ALD Pit,20,40,20,30,1.1,1.28,0.12046392,10.60539663,0.39449823,0.054284457,0.224980246,442445.144,7207075.373,0.0128,2.816
TL47 ALD Pit 40-60cm,TL47 ALD Pit,40,60,20,50,1.58,0.88,0.110420992,7.965472144,0.214193506,0.026771108,0.187279883,442445.144,7207075.373,0.0088,2.7808
TL47 ALD Pit 60-100cm,TL47 ALD Pit,60,100,40,80,,0.2,0.061832446,3.256948402,0.39449823,0.054284457,0.224980246,442445.144,7207075.373,0.002,0
TL47 ALD Border Pit 0-10cm,TL47 ALD Border Pit,0,10,10,5,0.255,27.98,1.420759094,19.69148043,0.214193506,0.026771108,0.187279883,442445.144,7207075.373,0.2798,7.1349
TL47 ALD Border Pit 10-20cm,TL47 ALD Border Pit,10,20,10,15,0.55,27.98,0.15708711,13.83238438,0.309903284,0.010102031,0.133379652,442445.144,7207075.373,0.2798,15.389
TL47 ALD Border Pit 20-40cm,TL47 ALD Border Pit,20,40,20,30,1.35,1.82,0.154792118,10.77861783,0.39449823,0.054284457,0.224980246,442445.144,7207075.373,0.0182,4.914
TL47 ALD Border Pit 40-70cm,TL47 ALD Border Pit,40,70,30,55,,2.36,0.15630476,15.08679315,0.39449823,0.054284457,0.224980246,442445.144,7207075.373,0.0236,0
TL47 ALD Border Pit 70-110cm,TL47 ALD Border Pit,70,110,40,90,1.3,1.64,0.140600904,11.69871645,0.309903284,0.010102031,0.133379652,442445.144,7207075.373,0.0164,8.528
TL47 ALD Trench 2 0-10cm,TL47 ALD Trench 2 ,0,10,10,5,0.24,26.09,0.381732529,16.66734099,0.214193506,0.026771108,0.187279883,442445.144,7207075.373,0.2609,6.2616
TL47 ALD Trench 2 10-20cm,TL47 ALD Trench 2 ,10,20,10,15,1.02,6.63,0.304791541,17.9309359,0.214193506,0.026771108,0.187279883,442445.144,7207075.373,0.0663,6.7626
