SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y
TL47 Midslope Failure 80-120cm,TL47 Midslope Failure,80,120,40,100,1.0875,1.27,0.11,7.98,0.21,0.03,0.19,442432.2698,7206860.7
TL47 Midslope Failure 120-180cm,TL47 Midslope Failure,120,180,60,150,1.306,0.93,0.08,11.92,1.08,0.23,0.43,442432.2698,7206860.7
TL47 GullyPit 1 0-10cm,TL47 GullyPit 1,0,10,10,5,0.9,2.90,0.20,14.20,0.21,0.03,0.19,442478.1254,7206580.355
TL47 GullyPit 1 10-20cm,TL47 GullyPit 1,10,20,10,15,,8.64,0.53,16.41,1.08,0.23,0.43,442478.1254,7206580.355
TL47 GullyPit 1 20-70cm,TL47 GullyPit 1,20,70,50,45,1.0875,1.19,0.12,10.19,0.21,0.03,0.19,442478.1254,7206580.355
TL47 GullyPit 1 70-100cm,TL47 GullyPit 1,70,100,30,85,1.306,0.62,0.07,9.44,1.08,0.23,0.43,442478.1254,7206580.355
TL47 22-01 0-10cm,TL47 22-01,0,10,10,5,0.218,9.14,0.45,20.44,0.79,0.23,0.97,443320.1748,7206177.654
TL47 22-01 10-30cm,TL47 22-01,10,30,20,20,0.55,3.65,0.22,16.64,0.79,0.23,0.97,443320.1748,7206177.654
TL47-22-01 0-23,TL47 22-01,30,53,23,41.5,1.179920212,4.12,0.28,14.78,0.47,0.04,0.36,443320.1748,7206177.654
TL47-22-01 23-37.5,TL47 22-01,53,67.5,14.5,60.25,1.125249651,3.40,0.25,13.59,0.79,0.23,0.97,443320.1748,7206177.654
TL47-22-01 56.5-67.5,TL47 22-01,67.5,97.5,30,82.5,0.528119009,5.19,0.30,17.58,0.47,0.04,0.36,443320.1748,7206177.654
TL47-22-01 67.5-80,TL47 22-01,97.5,110,12.5,103.75,0.497547641,1.47,0.12,12.81,0.47,0.04,0.36,443320.1748,7206177.654
TL47-22-02-0-20cm,TL47-22-02,0,20,20,10,0.228,32.91,1.72,19.11,0.79,0.23,0.97,443327.4946,7206662.419
TL47 -22-02-20-40cm,TL47-22-02,20,40,20,30,0.5505,3.75,0.23,16.65,0.79,0.23,0.97,443327.4946,7206662.419
TL47-22-02 0-13.5,TL47-22-02,40,53.5,13.5,46.75,1.51758406,3.27,0.22,14.72,0.79,0.23,0.97,443327.4946,7206662.419
TL47-22-02 13.5-33.5,TL47-22-02,53.5,72.5,19,63,2.253454216,4.74,0.32,14.67,0.79,0.23,0.97,443327.4946,7206662.419
TL47 22-03-0-15cm,TL47 22-03,0,15,15,7.5,0.303,27.48,1.13,24.42,0.79,0.23,0.97,443327.8756,7206682.477
TL47-22-03-15-50cm,TL47 22-03,15,50,35,32.5,1.059564324,1.00,0.08,13.01,0.47,0.06,0.40,443327.8756,7206682.477
TL47-22-03-0-9,TL47 22-03,50,59,9,54.5,2.858017835,4.07,0.25,20.51,0.41,0.06,0.26,443327.8756,7206682.477
TL47-22-03 9-24,TL47 22-03,59,74,15,66.5,2.671787709,2.66,0.17,15.98,0.47,0.04,0.36,443327.8756,7206682.477
TL47-22-03 24-40,TL47 22-03,74,90,16,82,1.975683785,3.30,0.22,15.12,0.47,0.04,0.36,443327.8756,7206682.477
TL47-22-03 59-77,TL47 22-03,109,127,18,118,0.755847985,11.26,0.70,16.10,0.47,0.04,0.36,443327.8756,7206682.477
TL47-22-03 77-93,TL47 22-03,127,143,16,135,1.536163267,5.87,0.40,14.69,0.79,0.23,0.97,443327.8756,7206682.477
TL47-22-03 93-111cm,TL47 22-03,143,161,18,152,1.764660487,5.53,0.33,16.68,0.41,0.06,0.26,443327.8756,7206682.477
TL47-22-05 0-15cm,TL47-22-05,0,15,15,7.5,0.27475,8.64,0.59,16.35,0.79,0.23,0.97,442931.557,7206297.648
TL47-22-05-15-35cm,TL47-22-05,15,35,20,25,0.401166667,6.01,0.42,16.85,0.79,0.23,0.97,442931.557,7206297.648
TL47-22-05 0-13.5,TL47-22-05,35,48.5,13.5,41.75,2.567856835,1.95,0.12,15.75,0.47,0.04,0.36,442931.557,7206297.648
TL47-22-05 13.5-26,TL47-22-05,48.5,61,12.5,54.75,2.476116336,2.13,0.17,12.26,0.79,0.23,0.97,442931.557,7206297.648
TL47-22-05 26.42.5,TL47-22-05,61,77.5,16.5,69.25,1.420539482,5.90,0.40,14.90,0.47,0.04,0.36,442931.557,7206297.648
TL47-22-05 42.5-57,TL47-22-05,77.5,92,14.5,84.75,1.009522433,10.10,0.61,16.68,0.47,0.04,0.36,442931.557,7206297.648
TL47-22-05 57-78.5,TL47-22-05,92,113.5,21.5,102.75,0.722147053,2.83,0.22,13.17,0.79,0.23,0.97,442931.557,7206297.648
TL47-22-05 78.5-105,TL47-22-05,113.5,140,26.5,126.75,1.159311615,2.15,0.14,15.78,0.47,0.04,0.36,442931.557,7206297.648
TL47-22-05 105-133.5,TL47-22-05,140,168.5,28.5,154.25,0.692772759,1.00,0.09,11.79,0.47,0.04,0.36,442931.557,7206297.648
TL47 PF Core 1 0-40cm,TL47 PF Core 1,0,40,40,20,0.425108995,14.31,,,,,,,
TL47 PF Core 1 0-18-1,TL47 PF Core 1,40,58,18,49,2.501930534,9.51,0.58,16.51,0.84,0.05,0.34,,
TL47 PF Core 1 18-28-1,TL47 PF Core 1,58,68,10,63,2.787604403,1.32,0.19,7.13,0.30,0.04,2.65,,
TL47 PF Core 1 28-44-1,TL47 PF Core 1,68,84,16,76,2.502882272,1.33,0.27,5.08,0.04,0.05,0.88,,
TL47 PF Core 1 44-56-1,TL47 PF Core 1,84,96,12,90,2.537715906,3.00,0.26,11.68,0.14,0.02,0.97,,
TL47 PF Core 1 56-77-1,TL47 PF Core 1,96,117,21,106.5,2.631366989,1.42,0.14,10.07,0.13,0.02,1.85,,
TL47 PF Core 1 77-111-1,TL47 PF Core 1,117,151,34,134,1.098015269,4.75,0.28,17.26,0.62,0.06,2.13,,
TL47-22-04-0-30cm,TL47-22-04,0,30,30,15,0.35,32.36,NA,NA,0.47,NA,NA,442836.9109,7206335.131
TL47-22-04-30-60cm,TL47-22-04,30,60,30,45,0.73,27.88,1.29,21.67,0.41,0.06,0.26,442836.9109,7206335.131
TL47-22-04 0-28,TL47-22-04,60,88,28,74,2.831225576,1.48,0.12,11.91,0.79,0.23,0.97,442836.9109,7206335.131
TL47-22-04 28-44.5,TL47-22-04,88,104.5,16.5,96.25,2.50448327,1.47,0.11,13.10,0.47,0.04,0.36,442836.9109,7206335.131
TL47-22-04 44.5-57,TL47-22-04,104.5,117,12.5,110.75,1.021759802,0.98,0.09,11.20,0.47,0.04,0.36,442836.9109,7206335.131
