,Name,Person,also known as,description,depth (cm) min,depth (cm) max,material,Date cal BP,Date unc BP,NOSAMS age,NOSAMS err,lon,lat,X,Y
33,TL47_Face1,Joanmarie,"tl47_fa1_182, 14",,182.0,182.0,Plant/Wood,,,505,15.0,-166.2189941,64.9778976,442471.6024710488,7206545.879986679
34,TL47_Face2,Joanmarie,"tl46_fa_1_150, 15",,150.0,150.0,Plant/Wood,,,195,15.0,-166.2189941,64.9778976,442471.6024710488,7206545.879986679
35,TL47_Face3,Joanmarie,"tl47_fa_1_105, 16",,105.0,105.0,Plant/Wood,,,185,15.0,-166.2189941,64.9778976,442471.6024710488,7206545.879986679
36,TL47_19_2,Joanmarie,"tl47_2_140-145, 22",,140.0,145.0,Plant/Wood,,,"2,230",15.0,-166.2109985,64.9775009,442848.0585599108,7206494.423913088
37,Joel Hoel,Joel,"tl47_tr_1-A, 12",,,,Plant/Wood,,,485,15.0,-166.2119249,64.97954398,442808.70643453026,7206722.925463276
38,Joel Hoel,Joel,"tl47_tr_3-C, 11",,,,Plant/Wood,,,155,15.0,-166.2119249,64.97954398,442808.70643453026,7206722.925463276
39,Joel Hoel,Joel,"tl47_tr_6-F, 10",,,,Plant/Wood,,,130,15.0,-166.2119249,64.97954398,442808.70643453026,7206722.925463276
40,Joel Hoel,Joel,"tl47_tr_8-H, 18",,,,Plant/Wood,,,100,15.0,-166.2119249,64.97954398,442808.70643453026,7206722.925463276
41,Joel Hoel,Joel,"tl47_tr_9-J, 19",,,,Plant/Wood,,,170,15.0,-166.2119249,64.97954398,442808.70643453026,7206722.925463276
42,Joel Hoel,Joel,"tl47_tr_11-L, 9",,,,Plant/Wood,,,325,15.0,-166.2119249,64.97954398,442808.70643453026,7206722.925463276
43,Joel Hoel,Joel,"tl47_tr_12-N, 20",,,,Plant/Wood,,,>Modern,,-166.2119249,64.97954398,442808.70643453026,7206722.925463276
44,Joel Hoel,Joel,"tl47_tr_13-O, 21",,,,Plant/Wood,,,125,15.0,-166.2119249,64.97954398,442808.70643453026,7206722.925463276
