Name,Person,also known as,description,depth (cm) min,depth (cm) max,material,Date cal BP,Date unc BP,NOSAMS age,NOSAMS err,lon,lat
KG3,Joanmarie,"kg_3_214-224, 8",,214,224,Plant/Wood,,,"13,500",70,-164.8139954,65.1664963
TL47_Face2,Joanmarie,"tl47_fa2_140, 13",,140,140,Plant/Wood,,,985,15,-166.2140045,64.9748001
TL47_Face1,Joanmarie,"tl47_fa1_182, 14",,182,182,Plant/Wood,,,505,15,-166.2189941,64.9778976
TL47_Face2,Joanmarie,"tl46_fa_1_150, 15",,150,150,Plant/Wood,,,195,15,-166.2189941,64.9778976
TL47_Face3,Joanmarie,"tl47_fa_1_105, 16",,105,105,Plant/Wood,,,185,15,-166.2189941,64.9778976
TL47_19_2,Joanmarie,"tl47_2_140-145, 22",,140,145,Plant/Wood,,,"2,230",15,-166.2109985,64.9775009
Joel Hoel,Joel,"tl47_tr_1-A, 12",,,,Plant/Wood,,,485,15,-166.2119249,64.97954398
Joel Hoel,Joel,"tl47_tr_3-C, 11",,,,Plant/Wood,,,155,15,-166.2119249,64.97954398
Joel Hoel,Joel,"tl47_tr_6-F, 10",,,,Plant/Wood,,,130,15,-166.2119249,64.97954398
Joel Hoel,Joel,"tl47_tr_8-H, 18",,,,Plant/Wood,,,100,15,-166.2119249,64.97954398
Joel Hoel,Joel,"tl47_tr_9-J, 19",,,,Plant/Wood,,,170,15,-166.2119249,64.97954398
Joel Hoel,Joel,"tl47_tr_11-L, 9",,,,Plant/Wood,,,325,15,-166.2119249,64.97954398
Joel Hoel,Joel,"tl47_tr_12-N, 20",,,,Plant/Wood,,,>Modern,,-166.2119249,64.97954398
Joel Hoel,Joel,"tl47_tr_13-O, 21",,,,Plant/Wood,,,125,15,-166.2119249,64.97954398
