,SampleLocationName,Total_C_stock_kg_m2_0to50cm,Total_N_stock_kg_m2_0to50cm,X,Y,slope,curv,mean_disp_rate,mean_temp
6,TL47 DoubleTree Pit 1,12.528,0.8140392323000001,442376.25,7206509.194,19.18076,0.001856462952370445,0.053399278499999994,3.5999999999999996
10,TL47 NPF-1,17.313617155720003,1.621916171028,443032.1486,7206635.717,10.293542,-0.018759112908608384,0.0186439748,0.7146
11,TL47 NPF-10,16.458125,1.0038625,442764.7193,7206602.935,14.088451,-0.01012065437518888,0.037396445,-0.4
13,TL47 NPF-8,19.7971875,0.8069999999999999,442286.9891,7206509.583,20.05566,-0.01184203051444557,0.0201481835,2.6109999999999998
16,TL47-22-05,15.9337856248295,1.0714102874926,442931.557,7206297.648,8.663725,0.00039117787188539904,0.036212265,-0.5
19,TL47_Slice3,21.335322522731246,1.6606375938679996,442442.8978,7206738.769,18.394537,-0.009350050758156512,0.034250618,3.55
21,TL47_Slice7,11.435909021635773,0.5044635167400001,442671.6503,7206658.006,16.13796,0.021843861943731707,0.06085533766666667,-0.3541666666666667
22,TL47_Slice8,10.065238028168,0.409226,442744.5118,7206647.02,12.553925,0.002421807859920793,0.05327116825,-0.30625
