,SampleLocationName,Total_C_stock_kg_m2_0to50cm,Total_N_stock_kg_m2_0to50cm,X,Y,slope,curv,mean_disp_rate
1,TL27 NonPF Core 13,10.9793322242328,0.3174062414995794,454134.5091,7180197.471,3.5545733,0.00044007200141196436,0.01876067802333333
2,TL27 NonPF Core 3,11.139292508903807,0.6470863557176401,454827.9905,7178958.053,5.2814155,1.6640702091940006e-05,0.015190830289999999
5,TL27 NonPF Core 6,5.819435085460576,0.5029923214034788,454795.3518,7178932.015,5.18236,0.002140678827547365,0.015190830289999999
7,TL27 NonPF Core 8,5.682283490891336,0.4170709494240452,454802.4897,7178928.341,4.841823,0.0020112571720447806,0.015190830289999999
8,TL27 NonPF Core 9,20.60685121891702,0.8852345126551597,454352.6583,7179642.101,6.243268,0.0031124878700615633,0.02977386287333333
9,TL27 PF Core 1 ,18.074949364020252,1.0400365718137154,454923.1661,7178744.523,3.911394,0.002501822865775062,0.02424942691
13,TL27 PF Core 15,18.665617141852145,1.1421205009328694,454917.1268,7178742.05,3.2404706,0.002144770114682615,0.02424942691
14,TL27 PF Core 16,27.538104988354505,1.77646663696644,454923.3143,7178738.502,4.8559384,0.00283391362366577,0.027482559785
