SampleName,SampleLocationName,Top_cm,Bottom_cm,layerthickness_cm,BD_measurement_cm,BulkDensity_gcm3,%C,%N,C/N,stdev%C,stdev%N,stdevC/N,X,Y,depth_mid_cm,C_frac,N_frac,C_stock_kg_m2,N_stock_kg_m2,effective_thickness_cm,thickness_ratio,C_stock_trunc_kg_m2,N_stock_trunc_kg_m2
TL27-NPF-8-0-40,TL27 NonPF Core 8,0.0,40.0,40.0,20.0,0.243183574,4.492125,0.286714557,15.66758605,1.1565755,0.083324181,1.080316254,454802.4897,7178928.341,20.0,0.044921249999999996,0.0028671455699999997,4.369644049419,0.2788970827563469,40.0,1.0,4.369644049419,0.2788970827563469
TL27-NPF-8-40-65,TL27 NonPF Core 8,40.0,65.0,25.0,52.0,0.981896457,1.336841,0.140721423,9.499911062,0.217937226,0.01714724,2.726542374,454802.4897,7178928.341,52.5,0.013368409999999999,0.0014072142300000001,3.281598603680842,0.3454346666692458,10.0,0.4,1.3126394414723368,0.13817386666769835
TL27-NPF-9-0-20,TL27 NonPF Core 9,0.0,20.0,20.0,10.0,0.683408765,8.027615,0.384317706,20.88796552,0.247487719,0.059926962,3.381741143,454352.6583,7179642.101,10.0,0.08027615,0.00384317706,10.97228490609095,0.5252921776501862,20.0,1.0,10.97228490609095,0.5252921776501862
TL27-NPF-9-20-40,TL27 NonPF Core 9,20.0,40.0,20.0,30.0,0.659896236,5.75861,0.238939418,24.10071157,0.149965703,0.007371892,0.114735091,454352.6583,7179642.101,30.0,0.0575861,0.0023893941799999997,7.600170127183921,0.31535044514046123,20.0,1.0,7.600170127183921,0.31535044514046123
TL27-NPF-9-40-60,TL27 NonPF Core 9,40.0,60.0,20.0,50.0,1.083121757,1.878271,0.041169785,45.62256041,0.307740823,0.013649268,10.28263542,454352.6583,7179642.101,50.0,0.01878271,0.00041169785,4.068792371284294,0.0891837797290245,10.0,0.5,2.034396185642147,0.04459188986451225
TL27-PF-1-0-40,TL27 PF Core 1 ,0.0,40.0,40.0,20.0,0.24815101,13.57187599,0.781860964,17.35690493,0.449342672,0.022057781,0.112077119,454923.1661,7178744.523,20.0,0.1357187599,0.00781860964,13.471498938053,0.7760783515846945,40.0,1.0,13.471498938053,0.7760783515846945
TL27-PF-1-40-63,TL27 PF Core 1 ,40.0,63.0,23.0,51.0,0.963792913,4.776389579,0.273874415,17.4386452,0.876559577,0.049088182,0.445832507,454923.1661,7178744.523,51.5,0.04776389579,0.00273874415,10.587935979724683,0.6071039065267481,10.0,0.43478260869565216,4.603450425967254,0.2639582202290209
TL27-PF-11-0-20,TL27 PF Core 11,0.0,20.0,20.0,10.0,0.202892151,40.47745731,2.234319409,18.16196798,,0.047521901,,454168.6817,7180149.47,10.0,0.4047745731,0.022343194089999997,16.425116761273145,0.9066517418261173,20.0,1.0,16.425116761273145,0.9066517418261173
TL27-PF-11-20-40,TL27 PF Core 11,20.0,40.0,20.0,30.0,1.281488023,9.184533735,0.386657463,23.8898558,0.189678977,0.038010466,2.099419239,454168.6817,7180149.47,30.0,0.09184533735,0.00386657463,23.539739956483913,0.9909938156761313,20.0,1.0,23.539739956483913,0.9909938156761313
TL27-PF-11-40-70,TL27 PF Core 11,40.0,70.0,30.0,55.0,0.9497871005,7.172136071,0.249007548,28.83289452,0.114019339,0.011849898,0.954936916,454168.6817,7180149.47,55.0,0.07172136071,0.00249007548,20.436006969799656,0.7095124710526037,10.0,0.3333333333333333,6.812002323266552,0.23650415701753458
TL27-PF-12-0-15,TL27 PF Core 12,0.0,15.0,15.0,7.0,0.177503036,11.02780494,0.611159771,17.94660171,2.35716632,0.103680627,0.944657232,454149.8355,7180175.169,7.5,0.1102780494,0.00611159771,2.9362032858986966,0.16272407225034716,15.0,1.0,2.9362032858986966,0.16272407225034716
Tl27-PF-12-15-40,TL27 PF Core 12,15.0,40.0,25.0,27.0,0.7708356329999999,1.568265911,0.174004872,9.117791647,0.155743761,0.027690428,1.336391715,454149.8355,7180175.169,27.5,0.01568265911,0.00174004872,3.0221881155450165,0.3353228891330099,25.0,1.0,3.0221881155450165,0.3353228891330099
TL27-PF-12-40-70,TL27 PF Core 12,40.0,70.0,30.0,55.0,1.36416823,3.938133646,0.212749582,18.47610757,0.438215491,0.015540943,0.727415534,454149.8355,7180175.169,55.0,0.03938133646,0.00212749582,16.1168304161018,0.8706786621305396,10.0,0.3333333333333333,5.372276805367266,0.29022622071017984
TL27-PF-14-0-10,TL27 PF Core 14,0.0,10.0,10.0,5.0,0.650954852,26.5976214,1.555120429,17.1038869,1.680987504,0.096586562,0.239600884,454081.3338,7180182.565,5.0,0.265976214,0.01555120429,17.313850701989033,1.0123131887018717,10.0,1.0,17.313850701989033,1.0123131887018717
TL27-PF-14-10-20,TL27 PF Core 14,10.0,20.0,10.0,15.0,1.219671045,9.281837906,0.370257407,25.14588087,0.827176897,0.04572315,0.946606675,454081.3338,7180182.565,15.0,0.09281837906,0.00370257407,11.32078893833163,0.4515922385146803,10.0,1.0,11.32078893833163,0.4515922385146803
TL27-PF-14-20-35,TL27 PF Core 14,20.0,35.0,15.0,27.0,0.8861905285,10.42777571,0.568332345,18.41731243,1.220005316,0.088168836,0.670098897,454081.3338,7180182.565,27.5,0.10427775710000001,0.00568332345,13.861494101286546,0.7554761117687915,15.0,1.0,13.861494101286546,0.7554761117687915
TL27-PF-14-35-60,TL27 PF Core 14,35.0,60.0,25.0,47.0,0.552710012,19.7105332,1.127126552,17.51702818,0.318406725,0.060689867,0.865699428,454081.3338,7180182.565,47.5,0.197105332,0.01127126552,27.235522603745995,1.5574353252035966,15.0,0.6,16.341313562247596,0.934461195122158
TL27-PF-15-0-15,TL27 PF Core 15,0.0,15.0,15.0,7.0,0.183353571,25.69993299,1.181147268,21.79559837,0.53098657,0.071125586,0.941568951,454917.1268,7178742.05,7.5,0.2569993299,0.011811472679999999,7.06826173226581,0.324851354197041,15.0,1.0,7.06826173226581,0.324851354197041
TL27-PF-15-15-30,TL27 PF Core 15,15.0,30.0,15.0,22.0,0.25096589049999996,17.68562028,1.28022337,13.81673292,0.283799853,0.030483917,0.183686288,454917.1268,7178742.05,22.5,0.17685620279999997,0.0128022337,6.657731163922587,0.48193859713644144,15.0,1.0,6.657731163922587,0.48193859713644144
TL27-PF-15-30-50,TL27 PF Core 15,30.0,50.0,20.0,40.0,0.31857821,7.75260845,0.52629235,14.7342933,1.192153465,0.081765247,0.460385607,454917.1268,7178742.05,40.0,0.07752608450000001,0.0052629235,4.939624245663749,0.33533054959938696,20.0,1.0,4.939624245663749,0.33533054959938696
TL27-PF-16-0-10,TL27 PF Core 16,0.0,10.0,10.0,5.0,0.184678221,35.60129066,2.220402133,16.42481052,1.014140887,0.094393428,0.239493743,454923.3143,7178738.502,5.0,0.35601290659999996,0.02220402133,6.5747830243927154,0.41005991582704543,10.0,1.0,6.5747830243927154,0.41005991582704543
TL27-PF-16-10-25,TL27 PF Core 16,10.0,25.0,15.0,17.0,0.2922508005,19.38973981,1.237322632,15.67024821,0.412748336,0.023301895,0.043984489,454923.3143,7178738.502,17.5,0.19389739809999998,0.01237322632,8.500000471438828,0.5424127945181504,15.0,1.0,8.500000471438828,0.5424127945181504
