SampleLocationName,Site,Y,X,pfTemp,dhorizontal,geometry
t2_7,TL47,7207045.543,442510.782,-0.5,0.061281223,POINT (442510.782 7207045.543)
t2_8,TL47,7206940.284,442452.704,0.4,0.079829204,POINT (442452.704 7206940.284)
t2_32,TL47,7206522.185,442337.251,1.9,0.0846478,POINT (442337.251 7206522.185)
t2_33,TL47,7206614.732,442461.225,4.4,0.044664772,POINT (442461.225 7206614.732)
t2_31,TL47,7206455.89,442513.363,1.5,0.060475662,POINT (442513.363 7206455.89)
t2_28,TL47,7206443.041,442624.577,-0.4,0.090437532,POINT (442624.577 7206443.041)
bm5,TL47,7206678.41,442647.162,-0.4,0.045469902,POINT (442647.162 7206678.41)
fglb6r,TL47,7206641.72,442681.521,-0.4,0.056611114,POINT (442681.521 7206641.72)
fglb6f,TL47,7206644.467,442689.742,-0.5,0.087362782,POINT (442689.742 7206644.467)
fglb5l,TL47,7206670.967,442702.894,-0.4,0.043321328,POINT (442702.894 7206670.967)
fglb5t,TL47,7206660.872,442711.998,-0.3,0.102690135,POINT (442711.998 7206660.872)
bm4,TL47,7206643.542,442742.036,-0.4,0.037396445,POINT (442742.036 7206643.542)
t2_27,TL47,7206557.215,442741.675,-0.1,0.044604049,POINT (442741.675 7206557.215)
t2_26,TL47,7206440.274,442794.696,-0.1,0.085338845,POINT (442794.696 7206440.274)
t2_25,TL47,7206281.46,442804.081,-0.4,0.05236645,POINT (442804.081 7206281.46)
t2_23,TL47,7206290.256,442949.523,-0.5,0.036212265,POINT (442949.523 7206290.256)
t2_19,TL47,7206128.114,443037.712,-0.4,0.027883153,POINT (443037.712 7206128.114)
t2_20,TL47,7206286.603,443121.312,-0.5,0.052634919,POINT (443121.312 7206286.603)
t2_17,TL47,7206260.498,443204.093,-0.4,0.022953635,POINT (443204.093 7206260.498)
t2_18,TL47,7206140.017,443192.024,-0.5,0.06081282,POINT (443192.024 7206140.017)
t2_16,TL47,7206352.898,443232.91,-0.5,0.03905323,POINT (443232.91 7206352.898)
