,SampleLocationName,Site,Y,X,pfTemp,dhorizontal,geometry,slope,drainagearea,curv,ndvi,pf,Name,Unnamed: 1,Probe length [m],Permafrost depth [m],MAT1 [°C],Fluxes [m3/yr],Mean displacement in top 50cm [mm]
12,C_05,TL47,7206719.685,442593.969,-0.05,0.037635214,POINT (442593.969 7206719.685),21.169304,289.65747,0.031813078,0.7554797,0,C_05,,1.8,1.5,-0.28109479,0.027695709,0.026721899
13,C_06,,,,,,,,,,,,C_06,,1.8,1.4,-0.183033176,0.011229013,0.011844304
14,C_07,TL47,7206703.435,442574.273,-0.11,0.075132203,POINT (442574.273 7206703.435),19.2725,111.423805,0.039240822,0.72359353,1,C_07,P1,1.8,1.3,-1.654527879,0.055466829,0.07079699
15,C_09,TL47,7206708.645,442561.478,-0.17,0.046090731,POINT (442561.478 7206708.645),17.181587,149.11761,0.002144947,0.7114012,1,C_09,,1.2,1.1,-1.49034105,0.03243107,0.04642133
16,C_10,TL47,7206714.558,442572.776,-0.11,0.02352294,POINT (442572.776 7206714.558),14.936008,201.65665,0.022208083,0.727922,1,C_10,,1.6,1.1,-1.826785551,0.013543186,0.01606268
17,C_11,TL47,7206723.799,442583.531,5.65,0.014839895,POINT (442583.531 7206723.799),15.661429,520.72546,-0.008956487,0.75040424,1,C_11,P2,1.8,>1.8,0.599342801,0.019850544,0.023728072
18,C_12,,,,,,,,,,,,C_12,,1.6,>1.6,-0.27773573,0.004438812,0.00459071
19,C_13,TL47,7206717.077,442562.713,1.656,0.007055736,POINT (442562.713 7206717.077),19.324179,296.2906,-0.026214685,0.70822465,1,C_13,,1.8,>1.8,0.216692826,0.008302801,0.014879187
20,C_14,TL47,7206722.986,442559.025,-0.03125,0.025500033,POINT (442559.025 7206722.986),21.650352,281.42392,-0.002122071,0.7167297,1,C_14,,1.6,>1.6,-0.487496777,0.01658506,0.023085445
21,C_15,TL47,7206738.163,442520.766,-0.15,0.060633293,POINT (442520.766 7206738.163),18.319658,307.66998,0.000297658,0.76765907,0,C_15,,1.6,>1.2,-1.366229196,0.032965382,0.051880814
22,C_16,TL47,7206740.347,442509.397,-0.08,0.067260385,POINT (442509.397 7206740.347),18.125053,229.9831,0.015159766,0.75945485,1,C_16,,1.6,1.2,-0.939610754,0.047007982,0.05541509
23,C_17,TL47,7206743.051,442484.958,3.55,0.034250618,POINT (442484.958 7206743.051),18.421616,368.41235,-0.021407401,0.7579261,0,C_17,,1.8,>1.8,0.75974052,0.019494268,0.03808797
24,C_19,TL47,7206794.963,442407.504,0.1875,0.215341875,POINT (442407.504 7206794.963),16.651344,166.16235,0.002061074,0.7207219,1,C_19,,1.2,>1.2,-0.639965258,0.122320811,0.185149282
