SampleLocationName,Site,Y,X,pfTemp,dhorizontal,geometry,snow,elev,slope,aspect,drainagearea,curv,ndvi,pf
C_10,TL47,7206714.558,442572.776,-0.11,0.02352294,POINT (442572.776 7206714.558),144.54337,185.77855,14.936008,97.09256,201.65665,0.022208083,0.727922,1
W_01,TL47,7206348.123,442769.107,-0.2109,0.047205959,POINT (442769.107 7206348.123),138.41093,130.4282,13.078896,87.41415,177.56493,-0.009300416,0.6808642,1
E_07,TL47,7206611.445,443061.539,-0.234,0.001428359,POINT (443061.539 7206611.445),142.11354,107.866325,10.076984,147.74127,165.46709,-0.007923182,0.6704381,0.8888889
W_08,TL47,7206502.683,442308.79,-0.078,0.01814561,POINT (442308.79 7206502.683),161.75987,256.46866,15.384426,81.89209,159.20387,0.013797285,0.7360911,1
W_07,TL47,7206465.443,442311.178,-0.117,0.020921005,POINT (442311.178 7206465.443),154.62242,256.63043,17.874926,83.31911,116.337006,-0.001462355,0.7283983,1
E_09,TL47,7206669.769,443053.602,-0.04,0.019057771,POINT (443053.602 7206669.769),143.2648,123.21467,15.589,159.06776,75.07809,0.019475138,0.72760606,0
E_18,TL47,7206869.71,443045.582,2.367,0.017755032,POINT (443045.582 7206869.71),134.74962,180.13089,18.721355,184.68578,68.84151,-0.011657053,0.7151072,0
C_13,TL47,7206717.077,442562.713,1.656,0.007055736,POINT (442562.713 7206717.077),145.2044,188.6629,19.324179,94.15456,296.2906,-0.026214685,0.70822465,1
E_13,TL47,7206631.623,442950.054,-0.164,0.018273972,POINT (442950.054 7206631.623),146.18521,118.42756,14.275223,160.89067,203.86562,0.022960255,0.7393114,0
W_02,TL47,7206424.073,442759.33,-0.273,0.00663198,POINT (442759.33 7206424.073),145.7608,132.22656,13.24548,81.55197,107.775185,0.00913629,0.6977544,1
E_16,TL47,7206817.134,442925.484,1.679,0.030056086,POINT (442925.484 7206817.134),134.69635,168.09421,11.920275,194.275,325.44055,0.018346213,0.71949077,0
E_03,TL47,7206551.433,443054.387,-0.164,0.008418468,POINT (443054.387 7206551.433),145.75287,98.03911,12.042094,166.2729,143.84901,0.005038047,0.6620068,0.44444445
E_05,TL47,7206604.05,443056.112,-0.328,0.012178174,POINT (443056.112 7206604.05),140.83954,107.54411,11.334648,158.37144,89.84507,0.016450668,0.6718685,0.5555556
W_03,TL47,7206436.96,442759.726,-0.211,0.01674187,POINT (442759.726 7206436.96),149.18488,131.53688,12.437471,77.50585,228.62057,-0.001980458,0.696419,1
E_08,TL47,7206616.256,443055.276,-0.265,0.005520539,POINT (443055.276 7206616.256),143.32492,109.23822,10.7005205,153.52313,174.60143,-0.019774921,0.6871643,0.44444445
E_10,TL47,7206567.828,442924.429,0.015,0.007152442,POINT (442924.429 7206567.828),151.23872,108.092224,8.79024,146.19472,362.71094,0.014110823,0.7432102,0
E_15,TL47,7206764.845,442911.431,0.679,0.013225476,POINT (442911.431 7206764.845),146.38564,151.99945,12.1378765,182.75864,158.30988,0.017000563,0.7772824,0
E_17,TL47,7206850.755,443045.817,1.093,0.003480293,POINT (443045.817 7206850.755),134.78899,174.59601,19.164574,189.0507,72.85096,0.020015582,0.72263026,0
t2_15,TL47,7206491.341,443233.72,5,0.026038996,POINT (443233.72 7206491.341),161.72247,77.734116,5.819322,113.20327,318.1593,-0.009155836,0.7237339,1
t2_12,TL47,7206638.57,443157.909,0,0.055597886,POINT (443157.909 7206638.57),145.72057,104.26599,14.747935,145.57974,64.05527,0.014357035,0.682497,0.6666667
bm1,TL47,7206476.676,443096.851,5,0.017820819,POINT (443096.851 7206476.676),158.28348,87.26888,5.842564,130.9479,35.328125,0.039507367,0.74183065,0.6666667
fglb1f,TL47,7206546.709,443061.327,2.5,0.097857689,POINT (443061.327 7206546.709),145.77449,96.85934,12.081724,163.64014,110.807045,0.003557491,0.6763067,0.22222222
fglb1m,TL47,7206554.939,443057.512,-0.7,0.080773579,POINT (443057.512 7206554.939),145.78738,98.46789,11.790154,161.761,138.4002,0.005377172,0.66335386,0.8888889
fglb1s,TL47,7206574.698,443057.969,-0.6,0.042508288,POINT (443057.969 7206574.698),137.15189,102.07622,11.524687,158.98868,146.09787,0.007089779,0.6618732,0.6666667
fglb1b,TL47,7206594.125,443052.194,-0.6,0.042946417,POINT (443052.194 7206594.125),142.1459,105.76589,9.839094,174.91498,97.35282,-0.006558351,0.66508293,0.22222222
bm2,TL47,7206635.571,443032.96,5,0.031146385,POINT (443032.96 7206635.571),149.21773,114.165665,10.293542,171.65306,301.17963,-0.018759113,0.7371511,0
fglb2b,TL47,7206679.395,443003.973,5.4,0.031116053,POINT (443003.973 7206679.395),145.32918,127.51645,14.41156,172.08685,265.93198,-0.000902136,0.7820342,0
fglb2f,TL47,7206655.225,443004.145,0,0.038830274,POINT (443004.145 7206655.225),149.8871,121.49711,20.74282,176.74387,185.76535,0.016534736,0.76190937,0
t2_2,TL47,7206758.19,442797.657,0,0.076962021,POINT (442797.657 7206758.19),140.92447,148.34534,11.540279,167.61124,340.24185,-0.005800227,0.7745403,0
t2_3,TL47,7206768.92,442953.997,6.4,0.026550451,POINT (442953.997 7206768.92),135.17291,154.02689,15.729952,180.72887,89.741974,-0.004387857,0.70923156,0
t2_4,TL47,7206931.547,442960.172,5,0.057964234,POINT (442960.172 7206931.547),134.71478,201.37956,13.610989,198.78549,93.23084,0.004362346,0.72759664,0
bm3,TL47,7206972.069,442839.194,3.8,0.049611783,POINT (442839.194 7206972.069),134.66786,214.26132,19.27959,188.94376,65.998276,-0.006745218,0.6729761,0
fglb3m,TL47,7206979.323,442845.311,2.7,0.059478976,POINT (442845.311 7206979.323),134.68657,216.626,15.892081,178.60002,63.512405,0.026864804,0.67196363,0
fglb3u,TL47,7206986.317,442837.278,3.5,0.032716117,POINT (442837.278 7206986.317),134.8017,218.245,15.2407875,176.85019,56.94774,0.0231517,0.6639905,0
fglb4l,TL47,7207013.525,442844.903,4.7,0.010369337,POINT (442844.903 7207013.525),134.76619,225.33545,19.186033,185.65424,65.20322,0.008297334,0.66925466,0
fglb4u,TL47,7207015.401,442844.602,4,0.046579779,POINT (442844.602 7207015.401),134.77629,226.38766,18.500023,182.30286,70.70337,0.026509428,0.6612196,0
t2_5,TL47,7206923.452,442798.772,4.4,0.050832799,POINT (442798.772 7206923.452),134.79291,198.70566,14.476281,182.21324,147.84662,-0.001749033,0.7125373,0
t2_6,TL47,7206931.549,442639.377,2.8,0.026399759,POINT (442639.377 7206931.549),139.6614,207.00534,15.884615,145.19757,251.40363,0.004715963,0.75576806,0
t2_7,TL47,7207045.543,442510.782,-0.5,0.061281223,POINT (442510.782 7207045.543),145.70593,257.337,14.728829,143.66672,112.96033,0.004390439,0.7234366,0
t2_8,TL47,7206940.284,442452.704,0.4,0.079829204,POINT (442452.704 7206940.284),148.37984,249.14488,16.949266,123.716446,336.62448,0.016529134,0.70611596,0.7777778
t2_32,TL47,7206522.185,442337.251,1.9,0.0846478,POINT (442337.251 7206522.185),161.74356,247.37454,19.742683,84.965034,145.69122,0.02622021,0.7446978,1
t2_33,TL47,7206614.732,442461.225,4.4,0.044664772,POINT (442461.225 7206614.732),152.79645,206.51888,16.403954,110.083954,327.39178,0.005236077,0.8071862,0.11111111
t2_31,TL47,7206455.89,442513.363,1.5,0.060475662,POINT (442513.363 7206455.89),158.89165,194.64944,15.576299,94.37077,118.421234,-0.014066719,0.6931316,1
t2_28,TL47,7206443.041,442624.577,-0.4,0.090437532,POINT (442624.577 7206443.041),145.81543,164.18512,16.900229,83.18666,119.79804,0.006100135,0.67839587,1
bm5,TL47,7206678.41,442647.162,-0.4,0.045469902,POINT (442647.162 7206678.41),145.7255,158.80066,17.878618,104.64281,187.60088,-0.000172523,0.74141294,1
fglb6r,TL47,7206641.72,442681.521,-0.4,0.056611114,POINT (442681.521 7206641.72),145.71475,145.76878,16.805231,109.93283,132.23894,0.019677404,0.74205995,0.5555556
fglb6f,TL47,7206644.467,442689.742,-0.5,0.087362782,POINT (442689.742 7206644.467),145.76352,143.39711,18.26279,109.7291,109.102264,0.008395016,0.74494237,0.44444445
fglb5l,TL47,7206670.967,442702.894,-0.4,0.043321328,POINT (442702.894 7206670.967),135.99313,142.88034,14.957234,106.67829,193.33276,0.001585998,0.7093612,1
fglb5t,TL47,7206660.872,442711.998,-0.3,0.102690135,POINT (442711.998 7206660.872),144.55379,140.30922,14.817379,105.34449,170.41728,0.027061881,0.7077969,1
bm4,TL47,7206643.542,442742.036,-0.4,0.037396445,POINT (442742.036 7206643.542),144.55377,130.836,12.910958,105.92243,92.76275,0.017555209,0.7438635,0.7777778
t2_27,TL47,7206557.215,442741.675,-0.1,0.044604049,POINT (442741.675 7206557.215),155.83983,128.91367,13.036264,74.86948,213.47105,-0.001434731,0.7618791,1
t2_26,TL47,7206440.274,442794.696,-0.1,0.085338845,POINT (442794.696 7206440.274),152.6573,123.70756,12.027914,86.16061,150.92084,-0.003405249,0.698913,1
t2_25,TL47,7206281.46,442804.081,-0.4,0.05236645,POINT (442804.081 7206281.46),134.80505,121.422,10.575389,107.60383,131.24887,0.004040177,0.68215656,1
t2_23,TL47,7206290.256,442949.523,-0.5,0.036212265,POINT (442949.523 7206290.256),144.97269,96.06,8.4203415,96.465355,72.09877,0.007520453,0.6869578,1
t2_19,TL47,7206128.114,443037.712,-0.4,0.027883153,POINT (443037.712 7206128.114),145.76764,81.857,6.0944767,97.96563,37.57614,0.000572343,0.68879074,1
t2_20,TL47,7206286.603,443121.312,-0.5,0.052634919,POINT (443121.312 7206286.603),134.77855,79.13089,3.8039165,155.74185,9.864625,0.001827326,0.6839522,0.7777778
t2_17,TL47,7206260.498,443204.093,-0.4,0.022953635,POINT (443204.093 7206260.498),140.84964,74.733116,2.094594,141.51724,1415.0264,0.00095935,0.6593925,1
t2_18,TL47,7206140.017,443192.024,-0.5,0.06081282,POINT (443192.024 7206140.017),143.34119,70.46866,2.4093814,167.19232,2.0758069,0.007190083,0.6816739,0.5555556
t2_16,TL47,7206352.898,443232.91,-0.5,0.03905323,POINT (443232.91 7206352.898),134.76656,77.33222,0.87899375,85.445,6.1064014,0.000719543,0.70578545,1
fglb1m,TL47,7206554.575,443057.3292,0.03125,0.080773579,POINT (443057.3292 7206554.575),145.78738,98.46789,11.790154,161.761,138.4002,0.005377172,0.66335386,0.8888889
C03F6B,TL27,7180164.3,454098.503,,1.039655132,POINT (454098.503 7180164.3),128,263.0143,2.9792635,102.99991,44.585957,-0.000161372,0.7253621,1
C12F41,Tl27,7178679.632,455058.053,,1.604659842,POINT (455058.053 7178679.632),123.666664,101.98989,2.4972916,159.80963,30.783234,0.000466507,0.6665788,0.6666667
C3602C,TL27,7179622.081,454427.333,,5.632973671,POINT (454427.333 7179622.081),119.111115,211.09555,11.737065,144.74913,214.36064,0.00048656,0.73432106,0.11111111
C819B3,TL27,7179637.912,454406.337,,,POINT (454406.337 7179637.912),128.66667,213.65599,4.739729,155.69087,299.165,-0.000200189,0.67207915,1
CB7FCE,TL27,7180165.575,454099.654,,2.610402734,POINT (454099.654 7180165.575),128,263.0143,2.9792635,102.99991,44.585957,-0.000161372,0.7253621,1
CBE511,TL27,7180118.41,454123.829,,2.573071486,POINT (454123.829 7180118.41),121.333336,259.9071,3.664784,165.133,10.718875,0.002288006,0.7590944,0
CE9F5A,TL27,7178919.719,454824.91,,1.519083029,POINT (454824.91 7178919.719),117,125.47578,5.4300604,128.16455,146.82465,-0.000296605,0.7224533,0.6666667
CF296B,TL27,7180102.519,454161.051,,2.125173268,POINT (454161.051 7180102.519),136.44444,257.94855,7.485637,144.283,21.332388,0.005559724,0.8091972,0.11111111
D0BAA7,TL27,7178930.808,454851.876,,,POINT (454851.876 7178930.808),117,124.7301,6.0138416,141.04459,194.3045,0.00089247,0.7855246,0
D143AB,TL27,7178886.251,454859.131,,,POINT (454859.131 7178886.251),117,120.785225,6.102374,144.70747,342.02475,1.31E-05,0.7351054,0.33333334
D28D94,TL27,7178912.701,454813.325,,,POINT (454813.325 7178912.701),117,125.203,5.537938,133.27065,165.70439,0.00295435,0.7607077,0.22222222
D53691,TL27,7178789.085,454920.926,,1.778316116,POINT (454920.926 7178789.085),127.55556,110.30445,3.0329928,134.31699,142.85944,0.000803717,0.7941636,0
D764A5,TL27,7179619.236,454421.003,,,POINT (454421.003 7179619.236),117,211.36398,11.149105,146.26398,297.98392,0.001246314,0.73183125,0.22222222
D7ABBF,TL27,7180103.829,454135.274,,,POINT (454135.274 7180103.829),125.44444,258.7389,8.950123,176.41595,3.507787,0.002850046,0.78662246,0
D8A1E3,TL27,7179633.639,454394.141,,1.845077255,POINT (454394.141 7179633.639),117,213.828,4.58863,157.13654,244.22113,3.61E-05,0.6811131,1
DB47B8,TL27,7179608.165,454428.062,,2.574596455,POINT (454428.062 7179608.165),144.88889,208.98734,6.190961,156.9664,178.74799,-0.003502083,0.77456266,0
DCBCB1,TL27,7179623.614,454426.912,,1.384302335,POINT (454426.912 7179623.614),119.111115,211.09555,11.737065,144.74913,214.36064,0.00048656,0.73432106,0.11111111
E1DF40,TL27,7180161.798,454099.528,,1.978145541,POINT (454099.528 7180161.798),124.333336,262.99612,2.858881,109.53423,20.822924,0.000381374,0.71843773,1
E21A87,TL27,7178863.117,454875.32,,,POINT (454875.32 7178863.117),130.33333,117.402115,4.997765,140.50414,524.0364,-0.001094273,0.79491776,0
E3F3FD,TL27,7178825.818,454905.336,,1.044953713,POINT (454905.336 7178825.818),135.11111,112.937225,5.0031953,150.26193,444.2941,-0.001182222,0.817265,0
E423BD,TL27,7180112.62,454120.088,,1.630461604,POINT (454120.088 7180112.62),130.44444,259.5847,4.257034,182.10669,10.725335,0.000552089,0.77564687,0
E5EE35,TL27,7178678.163,455056.677,,5.540923732,POINT (455056.677 7178678.163),119.666664,101.88433,2.78566,169.27243,43.014484,0.000571444,0.68141866,0.33333334
E65185,TL27,7178679.039,455055.755,,3.453965041,POINT (455055.755 7178679.039),122.333336,102.00433,2.4721224,166.35408,44.705322,0.000541783,0.68121266,0.44444445
E67801,TL27,7178760.974,454912.739,,4.02109551,POINT (454912.739 7178760.974),117,108.954666,4.830884,158.81523,157.22491,-6.24E-05,0.78173953,0
E86314,TL27,7180151.051,454103.836,,2.731227835,POINT (454103.836 7180151.051),117,262.65924,2.8567507,134.22705,8.812191,0.003869216,0.7037843,0.6666667
EADE17,TL27,7178767.154,454923.579,,1.475416447,POINT (454923.579 7178767.154),117,108.993004,5.0820713,148.52281,82.14909,0.000183354,0.7362674,0
EFC9D8,TL27,7179607.219,454374.403,,3.697860605,POINT (454374.403 7179607.219),124.77778,212.19667,4.884633,145.28558,179.41995,0.002770579,0.7420487,0.33333334
EFDE24,TL27,7180134.272,454114.091,,2.826228925,POINT (454114.091 7180134.272),117,261.3351,5.142466,119.37333,7.3127117,0.002092353,0.72255206,1
F04271,TL27,7179640.063,454435.395,,2.876584536,POINT (454435.395 7179640.063),120.888885,212.52844,7.0639086,137.66559,202.17957,0.00082155,0.7468307,0.22222222
F110AA,TL27,7179616.715,454414.277,,0.702040757,POINT (454414.277 7179616.715),117,211.36,12.573806,151.35721,213.15012,0.002506357,0.7304218,0.22222222
F40DE4,TL27,7179617.086,454422.161,,0.954535645,POINT (454422.161 7179617.086),125.44444,210.35501,12.5172615,153.05496,293.6271,-0.001945726,0.7570885,0
F51C1C,TL27,7178952.306,454814.274,,,POINT (454814.274 7178952.306),117,128.65477,4.431124,157.47531,165.79314,0.000728785,0.6539265,1
F61D0C,TL27,7179605.448,454398.089,,0.680954632,POINT (454398.089 7179605.448),119.111115,211.09256,11.936855,153.33597,144.47157,0.00355068,0.74674565,0
F66C3B,TL27,7180090.487,454135.898,,,POINT (454135.898 7180090.487),136,257.1193,4.7145424,156.22697,40.212048,-0.003603927,0.7763974,0
F7A63A,TL27,7178680.584,455056.543,,3.729763978,POINT (455056.543 7178680.584),122.333336,102.00433,2.4721224,166.35408,44.705322,0.000541783,0.68121266,0.44444445
F79DB5,TL27,7179586.102,454439.942,,4.917146389,POINT (454439.942 7179586.102),137.77777,206.16476,6.772614,152.75787,384.7089,-0.001885356,0.81404996,0
F79F97,TL27,7179626.121,454414.545,,,POINT (454414.545 7179626.121),117,212.27621,5.074261,146.1387,293.13617,0.00501421,0.69356817,1
F93D02,TL27,7180163.412,454100.784,,,POINT (454100.784 7180163.412),124.333336,262.99612,2.858881,109.53423,20.822924,0.000381374,0.71843773,1
FA2FF8,TL27,7179644.117,454419.824,,0.88324734,POINT (454419.824 7179644.117),120.888885,213.592,6.16346,151.77394,213.15013,0.001449606,0.66785264,1
FAE6A9,TL27,7180103.93,454129.374,,0.973311903,POINT (454129.374 7180103.93),131.33333,258.74756,9.1792555,179.52669,7.175854,0.000893385,0.78624904,0
FBAC7F,TL27,7179664.296,454391.662,,3.389221002,POINT (454391.662 7179664.296),148.11111,216.48145,4.809133,164.88405,295.08878,-0.000678913,0.6329443,1
FBBC88,TL27,7178921.932,454836.251,,,POINT (454836.251 7178921.932),117,124.736664,4.947622,150.66847,249.96696,0.000518405,0.69739187,1
FD0CD8,TL27,7178935.846,454862.214,,,POINT (454862.214 7178935.846),121.22222,124.575226,7.610499,148.81131,54.49651,0.001373603,0.827285,0
