SampleLocationName,Y,X,pfTemp,dhorizontal,geometry,slope,drainagearea,curv,ndvi,pf
bm1,7206476.676,443096.851,5,0.017820819,POINT (443096.851 7206476.676),5.842564,35.328125,0.039507367,0.74183065,1
fglb1f,7206546.709,443061.327,2.5,0.097857689,POINT (443061.327 7206546.709),12.081724,110.807045,0.003557491,0.6763067,0
fglb1m,7206554.939,443057.512,-0.7,0.080773579,POINT (443057.512 7206554.939),11.790154,138.4002,0.005377172,0.66335386,1
fglb1s,7206574.698,443057.969,-0.6,0.042508288,POINT (443057.969 7206574.698),11.524687,146.09787,0.007089779,0.6618732,1
fglb1b,7206594.125,443052.194,-0.6,0.042946417,POINT (443052.194 7206594.125),9.839094,97.35282,-0.006558351,0.66508293,0
bm2,7206635.571,443032.96,5,0.031146385,POINT (443032.96 7206635.571),10.293542,301.17963,-0.018759113,0.7371511,0
fglb2b,7206679.395,443003.973,5.4,0.031116053,POINT (443003.973 7206679.395),14.41156,265.93198,-0.000902136,0.7820342,0
fglb2f,7206655.225,443004.145,0,0.038830274,POINT (443004.145 7206655.225),20.74282,185.76535,0.016534736,0.76190937,0
t2_2,7206758.19,442797.657,0,0.076962021,POINT (442797.657 7206758.19),11.540279,340.24185,-0.005800227,0.7745403,0
t2_3,7206768.92,442953.997,6.4,0.026550451,POINT (442953.997 7206768.92),15.729952,89.741974,-0.004387857,0.70923156,0
t2_4,7206931.547,442960.172,5,0.057964234,POINT (442960.172 7206931.547),13.610989,93.23084,0.004362346,0.72759664,0
bm3,7206972.069,442839.194,3.8,0.049611783,POINT (442839.194 7206972.069),19.27959,65.998276,-0.006745218,0.6729761,0
fglb3m,7206979.323,442845.311,2.7,0.059478976,POINT (442845.311 7206979.323),15.892081,63.512405,0.026864804,0.67196363,0
fglb3u,7206986.317,442837.278,3.5,0.032716117,POINT (442837.278 7206986.317),15.2407875,56.94774,0.0231517,0.6639905,0
fglb4l,7207013.525,442844.903,4.7,0.010369337,POINT (442844.903 7207013.525),19.186033,65.20322,0.008297334,0.66925466,0
fglb4u,7207015.401,442844.602,4,0.046579779,POINT (442844.602 7207015.401),18.500023,70.70337,0.026509428,0.6612196,0
t2_5,7206923.452,442798.772,4.4,0.050832799,POINT (442798.772 7206923.452),14.476281,147.84662,-0.001749033,0.7125373,0
t2_6,7206931.549,442639.377,2.8,0.026399759,POINT (442639.377 7206931.549),15.884615,251.40363,0.004715963,0.75576806,0
t2_7,7207045.543,442510.782,-0.5,0.061281223,POINT (442510.782 7207045.543),14.728829,112.96033,0.004390439,0.7234366,0
t2_8,7206940.284,442452.704,0.4,0.079829204,POINT (442452.704 7206940.284),16.949266,336.62448,0.016529134,0.70611596,1
t2_32,7206522.185,442337.251,1.9,0.0846478,POINT (442337.251 7206522.185),19.742683,145.69122,0.02622021,0.7446978,1
t2_33,7206614.732,442461.225,4.4,0.044664772,POINT (442461.225 7206614.732),16.403954,327.39178,0.005236077,0.8071862,0
t2_31,7206455.89,442513.363,1.5,0.060475662,POINT (442513.363 7206455.89),15.576299,118.421234,-0.014066719,0.6931316,1
t2_28,7206443.041,442624.577,-0.4,0.090437532,POINT (442624.577 7206443.041),16.900229,119.79804,0.006100135,0.67839587,1
bm5,7206678.41,442647.162,-0.4,0.045469902,POINT (442647.162 7206678.41),17.878618,187.60088,-0.000172523,0.74141294,1
fglb6r,7206641.72,442681.521,-0.4,0.056611114,POINT (442681.521 7206641.72),16.805231,132.23894,0.019677404,0.74205995,1
fglb6f,7206644.467,442689.742,-0.5,0.087362782,POINT (442689.742 7206644.467),18.26279,109.102264,0.008395016,0.74494237,0
fglb5l,7206670.967,442702.894,-0.4,0.043321328,POINT (442702.894 7206670.967),14.957234,193.33276,0.001585998,0.7093612,1
fglb5t,7206660.872,442711.998,-0.3,0.102690135,POINT (442711.998 7206660.872),14.817379,170.41728,0.027061881,0.7077969,1
bm4,7206643.542,442742.036,-0.4,0.037396445,POINT (442742.036 7206643.542),12.910958,92.76275,0.017555209,0.7438635,1
t2_27,7206557.215,442741.675,-0.1,0.044604049,POINT (442741.675 7206557.215),13.036264,213.47105,-0.001434731,0.7618791,1
t2_26,7206440.274,442794.696,-0.1,0.085338845,POINT (442794.696 7206440.274),12.027914,150.92084,-0.003405249,0.698913,1
t2_25,7206281.46,442804.081,-0.4,0.05236645,POINT (442804.081 7206281.46),10.575389,131.24887,0.004040177,0.68215656,1
t2_23,7206290.256,442949.523,-0.5,0.036212265,POINT (442949.523 7206290.256),8.4203415,72.09877,0.007520453,0.6869578,1
t2_19,7206128.114,443037.712,-0.4,0.027883153,POINT (443037.712 7206128.114),6.0944767,37.57614,0.000572343,0.68879074,1
t2_20,7206286.603,443121.312,-0.5,0.052634919,POINT (443121.312 7206286.603),3.8039165,9.864625,0.001827326,0.6839522,1
t2_17,7206260.498,443204.093,-0.4,0.022953635,POINT (443204.093 7206260.498),2.094594,1415.0264,0.00095935,0.6593925,1
t2_18,7206140.017,443192.024,-0.5,0.06081282,POINT (443192.024 7206140.017),2.4093814,2.0758069,0.007190083,0.6816739,1
t2_16,7206352.898,443232.91,-0.5,0.03905323,POINT (443232.91 7206352.898),0.87899375,6.1064014,0.000719543,0.70578545,1
fglb1m,7206554.575,443057.3292,0.03125,0.080773579,POINT (443057.3292 7206554.575),11.790154,138.4002,0.005377172,0.66335386,1
C03F6B,7180164.3,454098.503,,1.039655132,POINT (454098.503 7180164.3),2.9792635,44.585957,-0.000161372,0.7253621,1
C12F41,7178679.632,455058.053,,1.604659842,POINT (455058.053 7178679.632),2.4972916,30.783234,0.000466507,0.6665788,1
C3602C,7179622.081,454427.333,,5.632973671,POINT (454427.333 7179622.081),11.737065,214.36064,0.00048656,0.73432106,0
C819B3,7179637.912,454406.337,,,POINT (454406.337 7179637.912),4.739729,299.165,-0.000200189,0.67207915,1
CB7FCE,7180165.575,454099.654,,2.610402734,POINT (454099.654 7180165.575),2.9792635,44.585957,-0.000161372,0.7253621,1
CBE511,7180118.41,454123.829,,2.573071486,POINT (454123.829 7180118.41),3.664784,10.718875,0.002288006,0.7590944,0
CE9F5A,7178919.719,454824.91,,1.519083029,POINT (454824.91 7178919.719),5.4300604,146.82465,-0.000296605,0.7224533,`
CF296B,7180102.519,454161.051,,2.125173268,POINT (454161.051 7180102.519),7.485637,21.332388,0.005559724,0.8091972,0
D0BAA7,7178930.808,454851.876,,,POINT (454851.876 7178930.808),6.0138416,194.3045,0.00089247,0.7855246,0
D143AB,7178886.251,454859.131,,,POINT (454859.131 7178886.251),6.102374,342.02475,1.31E-05,0.7351054,0
D28D94,7178912.701,454813.325,,,POINT (454813.325 7178912.701),5.537938,165.70439,0.00295435,0.7607077,0
D53691,7178789.085,454920.926,,1.778316116,POINT (454920.926 7178789.085),3.0329928,142.85944,0.000803717,0.7941636,0
D764A5,7179619.236,454421.003,,,POINT (454421.003 7179619.236),11.149105,297.98392,0.001246314,0.73183125,0
D7ABBF,7180103.829,454135.274,,,POINT (454135.274 7180103.829),8.950123,3.507787,0.002850046,0.78662246,0
D8A1E3,7179633.639,454394.141,,1.845077255,POINT (454394.141 7179633.639),4.58863,244.22113,3.61E-05,0.6811131,1
DB47B8,7179608.165,454428.062,,2.574596455,POINT (454428.062 7179608.165),6.190961,178.74799,-0.003502083,0.77456266,0
DCBCB1,7179623.614,454426.912,,1.384302335,POINT (454426.912 7179623.614),11.737065,214.36064,0.00048656,0.73432106,0
E1DF40,7180161.798,454099.528,,1.978145541,POINT (454099.528 7180161.798),2.858881,20.822924,0.000381374,0.71843773,1
E21A87,7178863.117,454875.32,,,POINT (454875.32 7178863.117),4.997765,524.0364,-0.001094273,0.79491776,0
E3F3FD,7178825.818,454905.336,,1.044953713,POINT (454905.336 7178825.818),5.0031953,444.2941,-0.001182222,0.817265,0
