,SampleLocationName,Total_C_stock_kg_m2_0to40cm,Total_N_stock_kg_m2_0to40cm,X,Y,slope,curv
0,TL27 NonPF Core 10,13.514377274012492,0.4995922338161569,454248.159,7180065.11,10.765772,0.0012457179707578486
1,TL27 NonPF Core 13,8.81247429330973,0.2602797920936922,454134.5091,7180197.471,3.5545733,0.00044007200141196436
2,TL27 NonPF Core 3,9.944692306637991,0.5496319074969922,454827.9905,7178958.053,5.2814155,1.6640702091940006e-05
3,TL27 NonPF Core 4,5.127676709539275,0.4195979680459477,454800.1835,7179054.213,6.2213445,0.005632474915020996
4,TL27 NonPF Core 5,3.986698237296,0.2850407817854399,454702.87,7179098.696,7.311036,0.002954021277320054
5,TL27 NonPF Core 6,3.904606379413472,0.3380592080047755,454795.3518,7178932.015,5.18236,0.002140678827547365
6,TL27 NonPF Core 7,9.843908059845711,0.7240348706621393,454781.0551,7178960.205,4.275224,0.003604183853086498
7,TL27 NonPF Core 8,4.369644049419,0.2788970827563469,454802.4897,7178928.341,4.841823,0.0020112571720447806
8,TL27 NonPF Core 9,18.57245503327487,0.8406426227906474,454352.6583,7179642.101,6.243268,0.0031124878700615633
9,TL27 PF Core 1 ,13.471498938053,0.7760783515846945,454923.1661,7178744.523,3.911394,0.002501822865775062
10,TL27 PF Core 11,39.96485671775706,1.8976455575022488,454168.6817,7180149.47,4.101473,0.0030495819195898045
11,TL27 PF Core 12,5.958391401443713,0.498046961383357,454149.8355,7180175.169,2.8316584,-0.0010448808679939248
12,TL27 PF Core 14,47.94323826235641,2.530868604026063,454081.3338,7180182.565,3.834324,0.0020546898659732607
13,TL27 PF Core 15,16.19580501902027,0.974455226133176,454917.1268,7178742.05,3.2404706,0.002144770114682615
14,TL27 PF Core 16,20.70068486473582,1.305953604509036,454923.3143,7178738.502,4.8559384,0.00283391362366577
