SampleLocationName,Total_C_stock_kg_m2_0to40cm,Total_N_stock_kg_m2_0to40cm,X,Y
TL27 NonPF Core 10,13.514377274012492,0.4995922338161569,454248.159,7180065.11
TL27 NonPF Core 13,8.81247429330973,0.2602797920936922,454134.5091,7180197.471
TL27 NonPF Core 3,9.944692306637993,0.5496319074969922,454827.9905,7178958.053
TL27 NonPF Core 4,5.127676709539275,0.41959796804594773,454800.1835,7179054.213
TL27 NonPF Core 5,3.986698237296,0.28504078178543996,454702.87,7179098.696
TL27 NonPF Core 6,3.9046063794134716,0.3380592080047755,454795.3518,7178932.015
TL27 NonPF Core 7,9.843908059845711,0.7240348706621393,454781.0551,7178960.205
TL27 NonPF Core 8,4.369644049419,0.2788970827563469,454802.4897,7178928.341
TL27 NonPF Core 9,18.57245503327487,0.8406426227906474,454352.6583,7179642.101
TL27 PF Core 1 ,13.471498938053,0.7760783515846945,454923.1661,7178744.523
TL27 PF Core 11,39.96485671775706,1.8976455575022486,454168.6817,7180149.47
TL27 PF Core 12,5.958391401443713,0.498046961383357,454149.8355,7180175.169
TL27 PF Core 14,47.94323826235641,2.530868604026063,454081.3338,7180182.565
TL27 PF Core 15,16.19580501902027,0.9744552261331759,454917.1268,7178742.05
TL27 PF Core 16,20.70068486473582,1.3059536045090359,454923.3143,7178738.502
