SampleLocationName,Total_C_stock_kg_m2_0to50cm,Total_N_stock_kg_m2_0to50cm,X,Y
TL27 NonPF Core 10,14.95732255004103,0.5730801682499309,454248.159,7180065.11
TL27 NonPF Core 13,10.9793322242328,0.3174062414995794,454134.5091,7180197.471
TL27 NonPF Core 3,11.139292508903809,0.6470863557176401,454827.9905,7178958.053
TL27 NonPF Core 4,5.517148742350646,0.48675298797029354,454800.1835,7179054.213
TL27 NonPF Core 5,4.361501712087,0.33217079346068695,454702.87,7179098.696
TL27 NonPF Core 6,5.819435085460576,0.5029923214034788,454795.3518,7178932.015
TL27 NonPF Core 7,10.085707302296607,0.8130907180448759,454781.0551,7178960.205
TL27 NonPF Core 8,5.682283490891336,0.4170709494240452,454802.4897,7178928.341
TL27 NonPF Core 9,20.60685121891702,0.8852345126551597,454352.6583,7179642.101
TL27 PF Core 1 ,18.074949364020252,1.0400365718137154,454923.1661,7178744.523
TL27 PF Core 11,46.77685904102361,2.134149714519783,454168.6817,7180149.47
TL27 PF Core 12,11.330668206810978,0.7882731820935369,454149.8355,7180175.169
TL27 PF Core 14,58.8374473038548,3.1538427341075015,454081.3338,7180182.565
TL27 PF Core 15,18.665617141852145,1.1421205009328694,454917.1268,7178742.05
TL27 PF Core 16,27.538104988354505,1.7764666369664401,454923.3143,7178738.502
