,SampleLocationName,Total_C_stock_kg_m2_0to60cm,Total_N_stock_kg_m2_0to60cm,X,Y,slope,curv
0,TL27 NonPF Core 10,16.400267826069566,0.6465681026837049,454248.159,7180065.11,10.765772,0.0012457179707578486
1,TL27 NonPF Core 13,15.829051630990552,0.5253807259879666,454134.5091,7180197.471,3.5545733,0.00044007200141196436
2,TL27 NonPF Core 3,12.333892711169623,0.744540803938288,454827.9905,7178958.053,5.2814155,1.6640702091940006e-05
3,TL27 NonPF Core 4,5.9066207751620174,0.5539080078946392,454800.1835,7179054.213,6.2213445,0.005632474915020996
4,TL27 NonPF Core 5,4.736305186878,0.3793008051359339,454702.87,7179098.696,7.311036,0.002954021277320054
5,TL27 NonPF Core 6,7.734263791507681,0.6679254348021821,454795.3518,7178932.015,5.18236,0.002140678827547365
6,TL27 NonPF Core 7,10.327506544747504,0.9021465654276124,454781.0551,7178960.205,4.275224,0.003604183853086498
7,TL27 NonPF Core 8,6.994922932363673,0.5552448160917436,454802.4897,7178928.341,4.841823,0.0020112571720447806
8,TL27 NonPF Core 9,22.641247404559167,0.929826402519672,454352.6583,7179642.101,6.243268,0.0031124878700615633
9,TL27 PF Core 1 ,22.67839978998751,1.3039947920427362,454923.1661,7178744.523,3.911394,0.002501822865775062
10,TL27 PF Core 11,53.58886136429016,2.3706538715373178,454168.6817,7180149.47,4.101473,0.0030495819195898045
11,TL27 PF Core 12,16.702945012178244,1.0784994028037167,454149.8355,7180175.169,2.8316584,-0.0010448808679939248
12,TL27 PF Core 14,69.7316563453532,3.77681686418894,454081.3338,7180182.565,3.834324,0.0020546898659732607
13,TL27 PF Core 15,26.95041059741116,1.6860674516831655,454917.1268,7178742.05,3.2404706,0.002144770114682615
14,TL27 PF Core 16,37.462344322989026,2.481838772438689,454923.3143,7178738.502,4.8559384,0.00283391362366577
