,SampleLocationName,Total_C_stock_kg_m2_0to50cm,Total_N_stock_kg_m2_0to50cm,X,Y,slope,curv
0,TL27 NonPF Core 10,14.95732255004103,0.5730801682499309,454248.159,7180065.11,10.765772,0.0012457179707578486
1,TL27 NonPF Core 13,10.9793322242328,0.3174062414995794,454134.5091,7180197.471,3.5545733,0.00044007200141196436
2,TL27 NonPF Core 3,11.139292508903807,0.6470863557176401,454827.9905,7178958.053,5.2814155,1.6640702091940006e-05
3,TL27 NonPF Core 4,5.517148742350646,0.4867529879702935,454800.1835,7179054.213,6.2213445,0.005632474915020996
4,TL27 NonPF Core 5,4.361501712087,0.3321707934606869,454702.87,7179098.696,7.311036,0.002954021277320054
5,TL27 NonPF Core 6,5.819435085460576,0.5029923214034788,454795.3518,7178932.015,5.18236,0.002140678827547365
6,TL27 NonPF Core 7,10.085707302296608,0.8130907180448759,454781.0551,7178960.205,4.275224,0.003604183853086498
7,TL27 NonPF Core 8,5.682283490891336,0.4170709494240452,454802.4897,7178928.341,4.841823,0.0020112571720447806
8,TL27 NonPF Core 9,20.60685121891702,0.8852345126551597,454352.6583,7179642.101,6.243268,0.0031124878700615633
9,TL27 PF Core 1 ,18.074949364020252,1.0400365718137154,454923.1661,7178744.523,3.911394,0.002501822865775062
10,TL27 PF Core 11,46.77685904102361,2.134149714519783,454168.6817,7180149.47,4.101473,0.0030495819195898045
11,TL27 PF Core 12,11.330668206810978,0.7882731820935369,454149.8355,7180175.169,2.8316584,-0.0010448808679939248
12,TL27 PF Core 14,58.8374473038548,3.1538427341075015,454081.3338,7180182.565,3.834324,0.0020546898659732607
13,TL27 PF Core 15,18.665617141852145,1.1421205009328694,454917.1268,7178742.05,3.2404706,0.002144770114682615
14,TL27 PF Core 16,27.538104988354505,1.77646663696644,454923.3143,7178738.502,4.8559384,0.00283391362366577
