SampleLocationName,Total_C_stock_kg_m2_0to100cm,Total_N_stock_kg_m2_0to100cm,X,Y
TL27 NonPF Core 10,16.400267826069566,0.6465681026837049,454248.159,7180065.11
TL27 NonPF Core 13,30.523339104640804,1.17739321584346,454134.5091,7180197.471
TL27 NonPF Core 3,14.3262557590771,0.9585761029926285,454827.9905,7178958.053
TL27 NonPF Core 4,7.731630219977317,1.5513273611802085,454800.1835,7179054.213
TL27 NonPF Core 5,5.0488145227754995,0.48441643849810645,454702.87,7179098.696
TL27 NonPF Core 6,31.000708180545132,2.247546143597364,454795.3518,7178932.015
TL27 NonPF Core 7,11.270854946261608,1.1446493956533144,454781.0551,7178960.205
TL27 NonPF Core 8,13.420409507638428,1.1696301374567892,454802.4897,7178928.341
TL27 NonPF Core 9,27.672893859189692,1.0889035461556027,454352.6583,7179642.101
TL27 PF Core 1 ,40.33438497308102,2.407474188147868,454923.1661,7178744.523
TL27 PF Core 11,64.02446247737596,2.7033139116494667,454168.6817,7180149.47
TL27 PF Core 12,31.69472052669647,1.8782775708067332,454149.8355,7180175.169
TL27 PF Core 14,103.9362657539532,5.336280934754885,454081.3338,7180182.565
TL27 PF Core 15,26.95041059741116,1.6860674516831655,454917.1268,7178742.05
TL27 PF Core 16,37.462344322989026,2.481838772438689,454923.3143,7178738.502
