,SampleLocationName,Total_C_stock_kg_m2_0to100cm,Total_N_stock_kg_m2_0to100cm,X,Y,slope,curv
0,TL27 NonPF Core 10,16.400267826069566,0.6465681026837049,454248.159,7180065.11,10.765772,0.0012457179707578486
1,TL27 NonPF Core 13,30.523339104640804,1.17739321584346,454134.5091,7180197.471,3.5545733,0.00044007200141196436
2,TL27 NonPF Core 3,14.3262557590771,0.9585761029926284,454827.9905,7178958.053,5.2814155,1.6640702091940006e-05
3,TL27 NonPF Core 4,7.731630219977317,1.5513273611802083,454800.1835,7179054.213,6.2213445,0.005632474915020996
4,TL27 NonPF Core 5,5.0488145227754995,0.4844164384981064,454702.87,7179098.696,7.311036,0.002954021277320054
5,TL27 NonPF Core 6,31.000708180545132,2.247546143597364,454795.3518,7178932.015,5.18236,0.002140678827547365
6,TL27 NonPF Core 7,11.270854946261608,1.1446493956533144,454781.0551,7178960.205,4.275224,0.003604183853086498
7,TL27 NonPF Core 8,13.420409507638428,1.1696301374567892,454802.4897,7178928.341,4.841823,0.0020112571720447806
8,TL27 NonPF Core 9,27.672893859189692,1.0889035461556027,454352.6583,7179642.101,6.243268,0.0031124878700615633
9,TL27 PF Core 1 ,40.33438497308102,2.407474188147868,454923.1661,7178744.523,3.911394,0.002501822865775062
10,TL27 PF Core 11,64.02446247737596,2.7033139116494667,454168.6817,7180149.47,4.101473,0.0030495819195898045
11,TL27 PF Core 12,31.69472052669647,1.8782775708067332,454149.8355,7180175.169,2.8316584,-0.0010448808679939248
12,TL27 PF Core 14,103.9362657539532,5.336280934754885,454081.3338,7180182.565,3.834324,0.0020546898659732607
13,TL27 PF Core 15,26.95041059741116,1.6860674516831655,454917.1268,7178742.05,3.2404706,0.002144770114682615
14,TL27 PF Core 16,37.462344322989026,2.481838772438689,454923.3143,7178738.502,4.8559384,0.00283391362366577
