year,deepest_sensor_depth_m,ID,Easting [m],Northing [m],deepest_always_above_zero,deepest_always_below_zero,mean_T_50cm [°C],mean_T_80cm [°C],mean_T_100cm [°C],deepest_0iso_m,ever_frozen,days_0iso_present,days_0iso_below_50cm,days_unfrozen_below_50cm,days_unfrozen,days_frozen_all,days_active_layer,notes,site
2022,-1.7,CF296B,454161.051,7180102.519,TRUE,FALSE,1.257934197,1.55108713,1.856349091,,FALSE,0,,,61,0,,no_permafrost_possible,TL27
2022,-1.7,D53691,454920.926,7178789.085,TRUE,FALSE,1.5513402,1.43364941,1.439766844,,FALSE,0,,,107,0,,no_permafrost_possible,TL27
2022,-1.7,D82D94,,,FALSE,FALSE,-0.154529743,0.084227059,0.186248615,-1.483561644,TRUE,271,219,126,74,0,0,,TL27
2022,-1.7,D8A1E3,454394.141,7179633.639,FALSE,FALSE,0.550494972,0.16719818,0.068764634,-1.699999999,TRUE,238,195,43,0,107,136,,TL27
2022,-1.7,D9BAA7,,,TRUE,FALSE,1.167047321,1.056949343,1.070268655,,FALSE,0,,,72,0,,no_permafrost_possible,TL27
2022,-1.7,DB47B8,454428.062,7179608.165,TRUE,FALSE,1.709717707,1.513495478,1.306709045,,FALSE,0,,,98,0,,no_permafrost_possible,TL27
2022,-1.9,DCBCB1,454426.912,7179623.614,FALSE,FALSE,-1.108193743,-0.958459301,-0.835520257,-1.899999999,TRUE,209,160,49,0,135,131,,TL27
2022,-1.3,E1DF40,454099.528,7180161.798,FALSE,TRUE,-1.120081243,-1.099782485,-0.826767309,-1.014285714,TRUE,216,171,45,0,129,132,,TL27
2022,-1.9,E3F3FD,454905.336,7178825.818,TRUE,FALSE,1.219795703,1.262233018,1.333426729,,FALSE,0,,,70,0,,no_permafrost_possible,TL27
2022,-1.3,E423BD,454120.088,7180112.62,TRUE,FALSE,0.09737943,0.229684949,0.256188568,,FALSE,0,,,26,0,,no_permafrost_possible,TL27
2022,-1.3,E5EE35,455056.677,7178678.163,FALSE,TRUE,-0.29058867,-0.205932773,-0.082566176,-1.04,TRUE,275,192,84,0,68,143,,TL27
2022,-1.3,E65185,455055.755,7178679.039,FALSE,TRUE,-0.550289841,-0.271607735,-0.21663246,-0.837583893,TRUE,261,183,78,0,83,139,,TL27
2022,-1.3,E67801,454912.739,7178760.974,TRUE,FALSE,1.248426833,1.487048163,1.607602802,,FALSE,0,,,88,0,,no_permafrost_possible,TL27
2022,-1.3,E86314,454103.836,7180151.051,FALSE,TRUE,-2.15536901,-1.907988355,-1.633031741,-0.940540541,TRUE,176,105,71,0,169,129,,TL27
2022,-1.7,EADE17,454923.579,7178767.154,TRUE,FALSE,-0.546451706,-0.451721164,-0.127558867,,FALSE,0,,,12,0,,no_permafrost_possible,TL27
