Sample,depth,depthInterval,Tray,Cell,weight,Date,corr d13C,STDEV,corr. d15N,STDEV,% C,STDEV,% N',STDEV,C/N,STDEV,lat,lon,ele,bulkdensity
KR_Pit4_190cm,190,10,1,D11,2.046,3/23/2022,-29.2,0.16,N/A,N/A,2.83,0.39,0.161,0.05,17.58,0.22,65.43106601,-164.703612,214.1035,0.482428571
KR_Pit4_235cm,235,10,1,B5,2.317,3/22/2022,-29.01,0.18,N/A,N/A,3.16,1.05,0.162,0.11,19.53,0.3,65.43106601,-164.703612,214.1035,0.794047619
KR_Pit4_238-240cm,240,10,1,B10,2.479,3/22/2022,-30.06,0.18,N/A,N/A,1.12,1.05,0.062,0.11,18.1,0.3,65.43106601,-164.703612,214.1035,1.419571429
KR_Pit4_250cm,250,10,1,C1,2.126,3/22/2022,-29.79,0.18,N/A,N/A,1.64,1.05,0.089,0.11,18.36,0.3,65.43106601,-164.703612,214.1035,1.233619048
KR_Pit5_15cmBD,15,10,1,E4,2.316,3/23/2022,-28.2,0.16,N/A,N/A,10.23,0.39,0.474,0.05,21.57,0.22,65.43005297,-164.692883,134.026062,0.387860762
KR_Pit5_45cmBD,45,10,1,D12,1.942,3/23/2022,-28.36,0.16,N/A,N/A,5.37,0.39,0.289,0.05,18.57,0.22,65.43005297,-164.692883,134.026062,0.793016083
KR_Pit5_80cm,80,10,1,B4,2.196,3/22/2022,-28.48,0.18,N/A,N/A,6.5,1.05,0.336,0.11,19.33,0.3,65.43005297,-164.692883,134.026062,0.390238095
KR_Pit5_110cm,110,10,1,A8,2.07,3/22/2022,-27.95,0.18,1.45,0.48,11.95,1.05,0.689,0.11,17.33,0.3,65.43005297,-164.692883,134.026062,0.31152381
KR_Pit5_120cm,120,10,1,B8,1.999,3/22/2022,-29.39,0.18,N/A,N/A,4.46,1.05,0.199,0.11,22.41,0.3,65.43005297,-164.692883,134.026062,0.831904762
KR_Pit5_140cm,140,10,1,E2,2.297,3/23/2022,-28.78,0.16,N/A,N/A,5.04,0.39,0.251,0.05,20.07,0.22,65.43005297,-164.692883,134.026062,0.801333333
KR_Pit5_170cm,170,10,1,B7,1.895,3/22/2022,-28.58,0.18,N/A,N/A,5.8,1.05,0.288,0.11,20.18,0.3,65.43005297,-164.692883,134.026062,0.800761905
KR_Pit5_190cm,190,10,1,D10,2.042,3/23/2022,-28.39,0.16,N/A,N/A,4.22,0.39,0.269,0.05,15.72,0.22,65.43005297,-164.692883,134.026062,0.608380952
KR_Pit5_230cm,230,10,1,C11,2.142,3/23/2022,-28.25,0.16,N/A,N/A,9.04,0.39,0.449,0.05,20.14,0.22,65.43005297,-164.692883,134.026062,0.661666667
KR_Gully_Overbank,0,0,1,C2,2.307,3/22/2022,-28.11,0.18,N/A,N/A,6.08,1.05,0.199,0.11,30.55,0.3,65.43005297,-164.692883,134.026062,
KR_Surface_1stHeadwall,0,0,1,C3,1.983,3/22/2022,-28.41,0.18,N/A,N/A,7.05,1.05,0.264,0.11,26.71,0.3,65.43321203,-164.673669,69.682236,
KRGully2_Surface,0,0,1,C5,2.019,3/22/2022,-28.6,0.18,N/A,N/A,3.32,1.05,0.136,0.11,24.5,0.3,,,,
KR_Gully1_UpstreamMostSurface,0,0,1,D1,2.08,3/23/2022,-28.48,0.16,N/A,N/A,4.76,0.39,0.228,0.05,20.87,0.22,65.43124597,-164.705342,166.974152,
KR_DoubleSpringSurface,0,0,1,D2,2.276,3/23/2022,-29.3,0.16,N/A,N/A,1.03,0.39,0.083,0.05,12.5,0.22,65.43025003,-164.696761,139.184753,
KR_SurfaceSedimentBlowout,0,0,1,B3,2.247,3/22/2022,-28.81,0.18,N/A,N/A,5.45,1.05,0.278,0.11,19.59,0.3,65.430119,-164.695576,,
KR_Pit3/4_Surface,0,0,1,C6,2.342,3/22/2022,-28.49,0.18,N/A,N/A,6.88,1.05,0.209,0.11,32.92,0.3,65.43106601,-164.703612,214.1035,
