,SampleLocationName,Site,lat,lon,X,Y,30m_total_curv,15m_plan_curv,hillshade,15m_slope,15m_gauss_curv,KG64_15m,30m_gauss_curv,15m_mean_curv,3m_curv,15m_total_curv,30m_profile_curv,slope,15m_profile_curv,30m_plan_curv,KG64_3m,aspect,30m_slope,KG64_30m,Drainage_areaQuinn_15m,30m_mean_curv
0,KG-2,KR63,65.1667023,-164.8130035,508763.1285,7227046.408,0.000821117354028019,-0.007403455245434323,179.77777777777777,0.09278897325109141,2.060516778774206e-06,42.652798,3.55868255630594e-07,-0.0008597180671115159,-0.00024007387,-0.0017384771653163693,-0.000829077954585122,5.8188605,0.000974197955247471,-0.00028953002170212824,42.74671,44.919556,0.06560190336565265,41.69192,31.793776,0.00040901601310905475
1,KG-1,KR63,65.1669006,-164.8130035,508763.063,7227068.509,0.0013382617338204069,-0.001673265447733124,183.33333333333334,0.07816827340352656,3.7215106412942455e-06,40.521103,4.980344981441794e-07,0.0013029189234790226,0.0002303139,0.002621303605444634,-0.0012213384000316554,11.674923,-0.0025439411080839316,-0.002512874624170975,40.509262,34.562023,0.04857342418679277,40.449673,58.801,0.0006667156885330007
2,KG-3,KR63,65.1664963,-164.8139954,508716.7133,7227023.312,-0.0002612050374348931,-0.001133648450186778,175.0,0.07618213982069941,-7.388432248695082e-08,46.172146,-1.1072002151466333e-08,-0.00012077291729826084,-0.0001899892,-0.00024324205186631304,0.00018975725895609868,5.280321,0.00015743199133736162,-0.0008977171899319377,46.49657,61.890144,0.07615174717298058,46.887993,36.488297,-0.00012952302517991424
