SampleName,SampleLocationName,Top_cm,Bottom_cm,depthInterval,%C,stdev%C,%N,stdev%N,C/N,stdevC/N,lat,lon,ele,BD_measurement_cm,BulkDensity_gcm3,X,Y,3m,30m_total_curv,3m_slope,15m_plan_curv,Hillshade,15m_slope,15m_gauss_curv,3m_profile_curv,3m_total_curv,30m_gauss_curv,15m_mean_curv,15m,3m_gauss_curv,15m_total_curv,30m_profile_curv,3m_mean_curv,15m_profile_curv,30m_plan_curv,Slope3m,Aspect,30m_slope,30m,3m_plan_curv,Drainage_areaQuinn_15m,30m_mean_curv
KR_Pit2_110cm,KR_Pit2,90,110,10,3.15,0.39,0.161,0.05,19.57,0.22,65.43118201,-164.704203,162.177338,110,1.070095238,513723.5168,7256542.571,175.56487,0.001354709,0.184927471,0.03923392,167.2222222,0.085137053,1.52E-06,0.036111606,-0.034836192,3.49E-08,0.001137122,175.4241,-0.000308973,0.00227322,-0.000133652,-0.015391555,-4.84E-05,0.017669311,10.357472,171.6752,0.074520793,176.0473,0.022670072,1009.7507,0.000675681
KR_Pit2_120cm,KR_Pit2,110,120,10,3.01,1.05,0.207,0.11,14.5,0.3,65.43118201,-164.704203,162.177338,120,0.674714286,513723.5168,7256542.571,175.56487,0.001354709,0.184927471,0.03923392,167.2222222,0.085137053,1.52E-06,0.036111606,-0.034836192,3.49E-08,0.001137122,175.4241,-0.000308973,0.00227322,-0.000133652,-0.015391555,-4.84E-05,0.017669311,10.357472,171.6752,0.074520793,176.0473,0.022670072,1009.7507,0.000675681
KR_Pit2_140cm,KR_Pit2,120,140,10,4.12,0.39,0.239,0.05,17.21,0.22,65.43118201,-164.704203,162.177338,140,0.330190476,513723.5168,7256542.571,175.56487,0.001354709,0.184927471,0.03923392,167.2222222,0.085137053,1.52E-06,0.036111606,-0.034836192,3.49E-08,0.001137122,175.4241,-0.000308973,0.00227322,-0.000133652,-0.015391555,-4.84E-05,0.017669311,10.357472,171.6752,0.074520793,176.0473,0.022670072,1009.7507,0.000675681
KR_Pit3_15-20cmBD,KR_Pit3,0,20,10,34.89,0.39,1.496,0.05,23.32,0.22,65.43106601,-164.703612,214.1035,20,0.183851069,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit3_40cmBD,KR_Pit3,20,40,10,3.18,1.05,0.153,0.11,20.8,0.3,65.43106601,-164.703612,214.1035,40,1.175038555,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit3_45-55cm,KR_Pit3,40,55,10,3.8,1.05,0.137,0.11,27.64,0.3,65.43106601,-164.703612,214.1035,55,0.454333333,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit3_60-65cm,KR_Pit3,55,65,10,6.65,0.39,0.339,0.05,19.64,0.22,65.43106601,-164.703612,214.1035,65,0.68852381,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit3_90cm,KR_Pit3,65,90,10,3.05,1.05,0.192,0.11,15.92,0.3,65.43106601,-164.703612,214.1035,90,0.778428571,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit3_140-145cm,KR_Pit3,90,145,10,6.51,1.05,0.289,0.11,22.5,0.3,65.43106601,-164.703612,214.1035,145,0.562571429,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
KR_Pit3_160-170cm,KR_Pit3,145,170,10,2.73,1.05,0.17,0.11,16.1,0.3,65.43106601,-164.703612,214.1035,170,0.612380952,513750.9969,7256529.771,172.49786,0.001289914,0.251738783,0.029395275,90.22222222,0.08289216,2.86E-07,-0.019444096,0.038798203,-1.23E-07,0.000893657,173.888,0.000889263,0.001784698,-7.22E-05,0.019673165,0.00010581,0.017021607,13.990963,155.9312,0.078121787,174.34892,0.233305341,1203.5616,0.000643422
